Orders.City,Orders.Category,CountNonNull(Orders.Row ID)
Oakland,Office Supplies,42937
Oakland,Technology,26584
Oceanside,Furniture,35295
Oceanside,Office Supplies,52242
Oceanside,Technology,21110
Odessa,Furniture,9035
Odessa,Office Supplies,21132
Odessa,Technology,
Oklahoma City,Furniture,34267
Oklahoma City,Office Supplies,60479
Oklahoma City,Technology,25621
Olathe,Furniture,5452
Olathe,Office Supplies,12695
Olathe,Technology,5450
Olympia,Furniture,4728
Olympia,Office Supplies,4728
Olympia,Technology,1593
Omaha,Furniture,15775
Omaha,Office Supplies,92875
Omaha,Technology,48407
Ontario,Furniture,2072
Ontario,Office Supplies,
Ontario,Technology,
Orange,Furniture,
Orange,Office Supplies,34718
Orange,Technology,
Orem,Furniture,3304
Orem,Office Supplies,31143
Orem,Technology,
Orland Park,Furniture,
Orland Park,Office Supplies,
Orland Park,Technology,110
Orlando,Furniture,6492
Orlando,Office Supplies,51955
Orlando,Technology,18845
Ormond Beach,Furniture,
Ormond Beach,Office Supplies,2121
Ormond Beach,Technology,
Oswego,Furniture,
Oswego,Office Supplies,28440
Oswego,Technology,
Overland Park,Furniture,
Overland Park,Office Supplies,21981
Overland Park,Technology,3476
Owensboro,Furniture,
Owensboro,Office Supplies,11802
Owensboro,Technology,
Oxnard,Furniture,15483
Oxnard,Office Supplies,49827
Oxnard,Technology,8612
Palatine,Furniture,
Palatine,Office Supplies,
Palatine,Technology,6273
Palm Coast,Furniture,10876
Palm Coast,Office Supplies,9000
Palm Coast,Technology,
Park Ridge,Furniture,468
Park Ridge,Office Supplies,5351
Park Ridge,Technology,7315
Parker,Furniture,11449
Parker,Office Supplies,7485
Parker,Technology,
Parma,Furniture,23238
Parma,Office Supplies,29872
Parma,Technology,
Pasadena,Furniture,58345
Pasadena,Office Supplies,83838
Pasadena,Technology,21262
Pasco,Furniture,4851
Pasco,Office Supplies,29208
Pasco,Technology,
Passaic,Furniture,2442
Passaic,Office Supplies,4888
Passaic,Technology,7331
Paterson,Furniture,50958
Paterson,Office Supplies,95459
Paterson,Technology,1967
Pearland,Furniture,
Pearland,Office Supplies,6423
Pearland,Technology,3912
Pembroke Pines,Furniture,6867
Pembroke Pines,Office Supplies,44755
Pembroke Pines,Technology,19827
Pensacola,Furniture,
Pensacola,Office Supplies,4879
Pensacola,Technology,
Peoria,Furniture,26409
Peoria,Office Supplies,52778
Peoria,Technology,29190
Perth Amboy,Furniture,9201
Perth Amboy,Office Supplies,26066
Perth Amboy,Technology,2047
Pharr,Furniture,10863
Pharr,Office Supplies,3017
Pharr,Technology,3019
Philadelphia,Furniture,537663
Philadelphia,Office Supplies,1436121
Philadelphia,Technology,557670
Phoenix,Furniture,64365
Phoenix,Office Supplies,172739
Phoenix,Technology,71988
Pico Rivera,Furniture,1369
Pico Rivera,Office Supplies,
Pico Rivera,Technology,
Pine Bluff,Furniture,
Pine Bluff,Office Supplies,9254
Pine Bluff,Technology,9253
Plainfield,Furniture,
Plainfield,Office Supplies,58950
Plainfield,Technology,9308
Plano,Furniture,17253
Plano,Office Supplies,33996
Plano,Technology,16323
Plantation,Furniture,14941
Plantation,Office Supplies,23639
Plantation,Technology,12367
Pleasant Grove,Furniture,
Pleasant Grove,Office Supplies,13954
Pleasant Grove,Technology,1379
Pocatello,Furniture,12107
Pocatello,Office Supplies,24474
Pocatello,Technology,12110
Pomona,Furniture,11645
Pomona,Office Supplies,12683
Pomona,Technology,8874
Pompano Beach,Furniture,2779
Pompano Beach,Office Supplies,8377
Pompano Beach,Technology,2780
Port Arthur,Furniture,4285
Port Arthur,Office Supplies,20170
Port Arthur,Technology,4287
Port Orange,Furniture,
Port Orange,Office Supplies,1893
Port Orange,Technology,
Port Saint Lucie,Furniture,4000
Port Saint Lucie,Office Supplies,12264
Port Saint Lucie,Technology,
Portage,Furniture,
Portage,Office Supplies,4341
Portage,Technology,
Portland,Furniture,26570
Portland,Office Supplies,66591
Portland,Technology,30599
Providence,Furniture,36471
Providence,Office Supplies,89311
Providence,Technology,42316
Provo,Furniture,4030
Provo,Office Supplies,23564
Provo,Technology,
Pueblo,Furniture,
Pueblo,Office Supplies,27114
Pueblo,Technology,15287
Quincy,Furniture,7195
Quincy,Office Supplies,47104
Quincy,Technology,16043
Raleigh,Furniture,27061
Raleigh,Office Supplies,71513
Raleigh,Technology,38954
Rancho Cucamonga,Furniture,
Rancho Cucamonga,Office Supplies,18032
Rancho Cucamonga,Technology,
Rapid City,Furniture,8151
Rapid City,Office Supplies,8150
Rapid City,Technology,
Reading,Furniture,20341
Reading,Office Supplies,10747
Reading,Technology,
Redding,Furniture,
Redding,Office Supplies,
Redding,Technology,5766
Redlands,Furniture,4228
Redlands,Office Supplies,40356
Redlands,Technology,2114
Redmond,Furniture,7948
Redmond,Office Supplies,31382
Redmond,Technology,17621
Redondo Beach,Furniture,2797
Redondo Beach,Office Supplies,23849
Redondo Beach,Technology,5589
Redwood City,Furniture,
Redwood City,Office Supplies,6116
Redwood City,Technology,
Reno,Furniture,
Reno,Office Supplies,11013
Reno,Technology,8603
Renton,Furniture,
Renton,Office Supplies,12728
Renton,Technology,6364
Revere,Furniture,3467
Revere,Office Supplies,29570
Revere,Technology,
Richardson,Furniture,37
Richardson,Office Supplies,
Richardson,Technology,36
Richmond,Furniture,84139
Richmond,Office Supplies,338964
Richmond,Technology,119996
Rio Rancho,Furniture,13419
Rio Rancho,Office Supplies,
Rio Rancho,Technology,
Riverside,Furniture,
Riverside,Office Supplies,68043
Riverside,Technology,15900
Rochester,Furniture,42301
Rochester,Office Supplies,142408
Rochester,Technology,49815
Rochester Hills,Furniture,
Rochester Hills,Office Supplies,
Rochester Hills,Technology,644
Rock Hill,Furniture,
Rock Hill,Office Supplies,3745
Rock Hill,Technology,
Rockford,Furniture,9973
Rockford,Office Supplies,50318
Rockford,Technology,8925
Rockville,Furniture,1178
Rockville,Office Supplies,16379
Rockville,Technology,10247
Rogers,Furniture,
Rogers,Office Supplies,5387
Rogers,Technology,
Rome,Furniture,12354
Rome,Office Supplies,23534
Rome,Technology,4526
Romeoville,Furniture,
Romeoville,Office Supplies,8981
Romeoville,Technology,
Roseville,Furniture,13582
Roseville,Office Supplies,113717
Roseville,Technology,5851
Roswell,Furniture,5152
Roswell,Office Supplies,37874
Roswell,Technology,10930
Round Rock,Furniture,4272
Round Rock,Office Supplies,11353
Round Rock,Technology,10403
Royal Oak,Furniture,
Royal Oak,Office Supplies,6124
Royal Oak,Technology,
Sacramento,Furniture,25676
Sacramento,Office Supplies,38082
Sacramento,Technology,21801
Saginaw,Furniture,2930
Saginaw,Office Supplies,837
Saginaw,Technology,208
Saint Charles,Furniture,30545
Saint Charles,Office Supplies,26479
Saint Charles,Technology,23709
Saint Cloud,Furniture,3496
Saint Cloud,Office Supplies,
Saint Cloud,Technology,6989
Saint Louis,Furniture,
Saint Louis,Office Supplies,27396
Saint Louis,Technology,2152
Saint Paul,Furniture,
Saint Paul,Office Supplies,99
Saint Paul,Technology,1299
Saint Peters,Furniture,1041
Saint Peters,Office Supplies,
Saint Peters,Technology,
Saint Petersburg,Furniture,18887
Saint Petersburg,Office Supplies,68369
Saint Petersburg,Technology,9454
Salem,Furniture,25125
Salem,Office Supplies,131097
Salem,Technology,32077
Salinas,Furniture,7014
Salinas,Office Supplies,9603
Salinas,Technology,
Salt Lake City,Furniture,
Salt Lake City,Office Supplies,39077
Salt Lake City,Technology,
San Angelo,Furniture,18398
San Angelo,Office Supplies,8113
San Angelo,Technology,
San Antonio,Furniture,49052
San Antonio,Office Supplies,127292
San Antonio,Technology,86826
San Bernardino,Furniture,9932
San Bernardino,Office Supplies,44437
San Bernardino,Technology,
San Clemente,Furniture,
San Clemente,Office Supplies,19337
San Clemente,Technology,
San Diego,Furniture,225136
San Diego,Office Supplies,419704
San Diego,Technology,182678
San Francisco,Furniture,468695
San Francisco,Office Supplies,1555392
San Francisco,Technology,438384
San Gabriel,Furniture,8754
San Gabriel,Office Supplies,4377
San Gabriel,Technology,
San Jose,Furniture,54300
San Jose,Office Supplies,150943
San Jose,Technology,26103
San Luis Obispo,Furniture,
San Luis Obispo,Office Supplies,9702
San Luis Obispo,Technology,
San Marcos,Furniture,8581
San Marcos,Office Supplies,17166
San Marcos,Technology,8583
San Mateo,Furniture,
San Mateo,Office Supplies,3216
San Mateo,Technology,
Sandy Springs,Furniture,12656
Sandy Springs,Office Supplies,61428
Sandy Springs,Technology,26689
Sanford,Furniture,8565
Sanford,Office Supplies,8564
Sanford,Technology,
Santa Ana,Furniture,14256
Santa Ana,Office Supplies,50777
Santa Ana,Technology,23112
Santa Barbara,Furniture,9913
Santa Barbara,Office Supplies,30558
Santa Barbara,Technology,28986
Santa Clara,Furniture,
Santa Clara,Office Supplies,36388
Santa Clara,Technology,
Santa Fe,Furniture,
Santa Fe,Office Supplies,9306
Santa Fe,Technology,3478
Santa Maria,Furniture,
Santa Maria,Office Supplies,6140
Santa Maria,Technology,
Scottsdale,Furniture,8008
Scottsdale,Office Supplies,30998
Scottsdale,Technology,2085
Seattle,Furniture,530477
Seattle,Office Supplies,1233067
Seattle,Technology,435641
Sheboygan,Furniture,
Sheboygan,Office Supplies,23967
Sheboygan,Technology,7991
Shelton,Furniture,
Shelton,Office Supplies,8385
Shelton,Technology,8384
Sierra Vista,Furniture,6043
Sierra Vista,Office Supplies,1295
Sierra Vista,Technology,
Sioux Falls,Furniture,2317
Sioux Falls,Office Supplies,15390
Sioux Falls,Technology,5589
Skokie,Furniture,16394
Skokie,Office Supplies,26339
Skokie,Technology,6715
Smyrna,Furniture,9504
Smyrna,Office Supplies,77427
Smyrna,Technology,6401
South Bend,Furniture,
South Bend,Office Supplies,9264
South Bend,Technology,1851
Southaven,Furniture,2278
Southaven,Office Supplies,20129
Southaven,Technology,8229
Sparks,Furniture,
Sparks,Office Supplies,12542
Sparks,Technology,2419
Spokane,Furniture,8280
Spokane,Office Supplies,24863
Spokane,Technology,13755
Springdale,Furniture,
Springdale,Office Supplies,9761
Springdale,Technology,
Springfield,Furniture,143486
Springfield,Office Supplies,492430
Springfield,Technology,183369
Sterling Heights,Furniture,
Sterling Heights,Office Supplies,10267
Sterling Heights,Technology,
Stockton,Furniture,8889
Stockton,Office Supplies,16178
Stockton,Technology,4353
Suffolk,Furniture,9457
Suffolk,Office Supplies,40521
Suffolk,Technology,
Summerville,Furniture,
Summerville,Office Supplies,2594
Summerville,Technology,2593
Sunnyvale,Furniture,2122
Sunnyvale,Office Supplies,27142
Sunnyvale,Technology,18093
Superior,Furniture,7255
Superior,Office Supplies,47557
Superior,Technology,7261
Tallahassee,Furniture,7470
Tallahassee,Office Supplies,63064
Tallahassee,Technology,26175
Tamarac,Furniture,
Tamarac,Office Supplies,7121
Tamarac,Technology,
Tampa,Furniture,41915
Tampa,Office Supplies,104144
Tampa,Technology,6887
Taylor,Furniture,5163
Taylor,Office Supplies,306
Taylor,Technology,384
Temecula,Furniture,
Temecula,Office Supplies,3289
Temecula,Technology,9869
Tempe,Furniture,2886
Tempe,Office Supplies,22862
Tempe,Technology,18111
Texarkana,Furniture,5234
Texarkana,Office Supplies,
Texarkana,Technology,3896
Texas City,Furniture,22145
Texas City,Office Supplies,
Texas City,Technology,
The Colony,Furniture,
The Colony,Office Supplies,12871
The Colony,Technology,8566
Thomasville,Furniture,
Thomasville,Office Supplies,6851
Thomasville,Technology,
Thornton,Furniture,23661
Thornton,Office Supplies,32077
Thornton,Technology,19624
Thousand Oaks,Furniture,6837
Thousand Oaks,Office Supplies,16477
Thousand Oaks,Technology,5803
Tigard,Furniture,7414
Tigard,Office Supplies,11436
Tigard,Technology,16463
Tinley Park,Furniture,3403
Tinley Park,Office Supplies,
Tinley Park,Technology,
Toledo,Furniture,16128
Toledo,Office Supplies,77221
Toledo,Technology,51909
Torrance,Furniture,943
Torrance,Office Supplies,7781
Torrance,Technology,6840
Trenton,Furniture,5823
Trenton,Office Supplies,25524
Trenton,Technology,22581
Troy,Furniture,51903
Troy,Office Supplies,75052
Troy,Technology,23466
Tucson,Furniture,38238
Tucson,Office Supplies,49654
Tucson,Technology,27477
Tulsa,Furniture,37552
Tulsa,Office Supplies,83984
Tulsa,Technology,12588
Tuscaloosa,Furniture,7151
Tuscaloosa,Office Supplies,4937
Tuscaloosa,Technology,
Twin Falls,Furniture,8784
Twin Falls,Office Supplies,8783
Twin Falls,Technology,
Tyler,Furniture,679
Tyler,Office Supplies,2194
Tyler,Technology,678
Urbandale,Furniture,
Urbandale,Office Supplies,4452
Urbandale,Technology,
Utica,Furniture,8807
Utica,Office Supplies,23274
Utica,Technology,23197
Vacaville,Furniture,
Vacaville,Office Supplies,2751
Vacaville,Technology,
Vallejo,Furniture,639
Vallejo,Office Supplies,8836
Vallejo,Technology,
Vancouver,Furniture,2143
Vancouver,Office Supplies,1001
Vancouver,Technology,1301
Vineland,Furniture,13162
Vineland,Office Supplies,25209
Vineland,Technology,6670
Virginia Beach,Furniture,40655
Virginia Beach,Office Supplies,41370
Virginia Beach,Technology,16090
Visalia,Furniture,
Visalia,Office Supplies,22395
Visalia,Technology,3272
Waco,Furniture,5176
Waco,Office Supplies,33377
Waco,Technology,
Warner Robins,Furniture,636
Warner Robins,Office Supplies,2341
Warner Robins,Technology,
Warwick,Furniture,
Warwick,Office Supplies,5154
Warwick,Technology,8899
Washington,Furniture,4511
Washington,Office Supplies,12384
Washington,Technology,1023
Waterbury,Furniture,4707
Waterbury,Office Supplies,44626
Waterbury,Technology,22045
Waterloo,Furniture,
Waterloo,Office Supplies,6231
Waterloo,Technology,
Watertown,Furniture,9350
Watertown,Office Supplies,32891
Watertown,Technology,
Waukesha,Furniture,
Waukesha,Office Supplies,2772
Waukesha,Technology,
Wausau,Furniture,
Wausau,Office Supplies,19330
Wausau,Technology,
Waynesboro,Furniture,17973
Waynesboro,Office Supplies,12881
Waynesboro,Technology,8148
West Allis,Furniture,3763
West Allis,Office Supplies,3764
West Allis,Technology,
West Jordan,Furniture,3022
West Jordan,Office Supplies,9082
West Jordan,Technology,
West Palm Beach,Furniture,
West Palm Beach,Office Supplies,17117
West Palm Beach,Technology,6914
Westfield,Furniture,8420
Westfield,Office Supplies,5955
Westfield,Technology,2880
Westland,Furniture,12661
Westland,Office Supplies,51359
Westland,Technology,4441
Westminster,Furniture,33368
Westminster,Office Supplies,79215
Westminster,Technology,34845
Wheeling,Furniture,14670
Wheeling,Office Supplies,33277
Wheeling,Technology,
Whittier,Furniture,
Whittier,Office Supplies,
Whittier,Technology,206
Wichita,Furniture,5363
Wichita,Office Supplies,23433
Wichita,Technology,5414
Wilmington,Furniture,22529
Wilmington,Office Supplies,127514
Wilmington,Technology,21758
Wilson,Furniture,6702
Wilson,Office Supplies,40741
Wilson,Technology,
Woodbury,Furniture,
Woodbury,Office Supplies,19436
Woodbury,Technology,
Woodland,Furniture,
Woodland,Office Supplies,6379
Woodland,Technology,9613
Woodstock,Furniture,2845
Woodstock,Office Supplies,15337
Woodstock,Technology,9883
Woonsocket,Furniture,3990
Woonsocket,Office Supplies,15458
Woonsocket,Technology,
Yonkers,Furniture,6380
Yonkers,Office Supplies,43891
Yonkers,Technology,23851
York,Furniture,2146
York,Office Supplies,21246
York,Technology,
Yucaipa,Furniture,
Yucaipa,Office Supplies,3348
Yucaipa,Technology,
Yuma,Furniture,
Yuma,Office Supplies,12911
Yuma,Technology,14562
