10000.County,10000.Invoice/Item Number,Sum(10000.Sale (Dollars)),Sum(10000.Pack),Sum(10000.Volume Sold (Liters)),
Boone,S23893300009,60.12,12,9,NaN
Boone,S24111500050,207.96,6,21,NaN
Bremer,S03385800017,268.08,12,12,NaN
Bremer,S03614200046,165.3,6,10,NaN
Bremer,S04407900052,58.32,12,9,NaN
Bremer,S04412300032,20.22,12,2,NaN
Bremer,S04533600034,989.4,12,60,NaN
Bremer,S04864300063,45.42,12,2,NaN
Bremer,S05416000014,113.4,12,9,NaN
Bremer,S05424900034,30.7,12,2,NaN
Bremer,S05655700001,203.28,12,12,NaN
Bremer,S05752200002,238.56,12,24,NaN
Bremer,S05758500033,75,6,3,NaN
Bremer,S05887800032,122.25,6,5,NaN
Bremer,S06006700033,47.24,12,3,NaN
Bremer,S06497200010,14.14,12,1,NaN
Bremer,S07099300004,80.94,6,10,NaN
Bremer,S07359100026,178.56,12,27,NaN
Bremer,S07359100075,62.96,12,3,NaN
Bremer,S07364200029,28.47,12,2,NaN
Bremer,S07522900068,4.95,48,1,NaN
Bremer,S08373700003,143.28,12,9,NaN
Bremer,S08520000085,40.12,6,2,NaN
Bremer,S09409900025,22.6,12,2,NaN
Bremer,S09425100013,65.82,6,10,NaN
Bremer,S09662000002,73.8,6,10,NaN
Bremer,S09670200029,195,6,2,NaN
Bremer,S10055500027,33.72,12,3,NaN
Bremer,S10057000020,68.22,6,10,NaN
Bremer,S10287500011,269.88,12,12,NaN
Bremer,S10918000025,130.44,6,10,NaN
Bremer,S11037100032,39.16,12,3,NaN
Bremer,S11291800024,22.44,12,2,NaN
Bremer,S11415500008,73.8,6,10,NaN
Bremer,S12067800002,90,6,4,NaN
Bremer,S12202100036,121.44,12,18,NaN
Bremer,S12207900004,64.2,6,10,NaN
Bremer,S12209300034,377.64,12,27,NaN
Bremer,S12334000050,49,6,2,NaN
Bremer,S12589100003,211.44,12,12,NaN
Bremer,S12589100011,26.62,6,2,NaN
Bremer,S12728600049,37.2,12,4,NaN
Bremer,S12728900011,65.7,6,10,NaN
Bremer,S12960000007,59.04,12,9,NaN
Bremer,S13247000103,17.99,12,1,NaN
Bremer,S13371800115,121.5,12,2,NaN
Bremer,S13662500006,68.22,6,10,NaN
Bremer,S13992000009,99,12,12,NaN
Bremer,S14595800006,81.12,48,10,NaN
Bremer,S15993000177,23.58,12,2,NaN
Bremer,S16041800006,125.88,12,9,NaN
Bremer,S17201400132,27.76,12,2,NaN
Bremer,S17448900018,505.2,12,18,NaN
Bremer,S17982400029,7.44,10,1,NaN
Bremer,S18146500066,169.68,12,12,NaN
Bremer,S18199700027,48.75,12,2,NaN
Bremer,S18256600032,143.88,12,12,NaN
Bremer,S18320200019,55.5,6,10,NaN
Bremer,S18921200155,43.07,4,2,NaN
Bremer,S19496600019,16.24,6,2,NaN
Bremer,S19599500030,16.5,12,1,NaN
Bremer,S19976500060,171,12,12,NaN
Bremer,S20111100086,33.69,12,2,NaN
Bremer,S20598600001,120.24,12,18,NaN
Bremer,S20862300101,113.4,12,9,NaN
Bremer,S21192900037,101.64,6,10,NaN
Bremer,S21192900049,45,12,2,NaN
Bremer,S21498900006,108,24,9,NaN
Bremer,S21624900031,16.5,12,2,NaN
Bremer,S21644300032,16.12,12,2,NaN
Bremer,S21760500075,153,12,9,NaN
Bremer,S21891700006,177.36,12,9,NaN
Bremer,S21923100030,9.66,24,1,NaN
Bremer,S22047700136,4.96,48,0,NaN
Bremer,S22121100010,58.5,12,4,NaN
Bremer,S22168500070,106.5,6,10,NaN
Bremer,S22202800013,49.47,12,2,NaN
Bremer,S22202800021,64.8,6,10,NaN
Bremer,S22690200087,73.8,6,10,NaN
Bremer,S22872300012,67.26,6,10,NaN
Bremer,S22963000031,134.52,6,21,NaN
Bremer,S23089800017,24.6,6,4,NaN
Bremer,S23571300121,26.02,12,2,NaN
Bremer,S24100900013,147.06,6,6,NaN
Buchanan,S03428400025,35.73,12,2,NaN
Buchanan,S03829700003,62.28,6,10,NaN
Buchanan,S04315200007,71.4,12,9,NaN
Buchanan,S04554600028,117.48,12,9,NaN
Buchanan,S05329000012,55.54,6,4,NaN
Buchanan,S05445900020,43.64,12,4,NaN
Buchanan,S05690000016,234.12,12,9,NaN
Buchanan,S06048600029,221.4,6,32,NaN
Buchanan,S06515700010,94.08,12,9,NaN
Buchanan,S06758900008,135,12,12,NaN
Buchanan,S06873600020,103.92,6,10,NaN
Buchanan,S06877400001,212.88,12,12,NaN
Buchanan,S07391600023,14.47,12,1,NaN
Buchanan,S08805500012,243.72,12,9,NaN
Buchanan,S08821700018,64.74,6,10,NaN
Buchanan,S08938700013,11.02,12,1,NaN
Buchanan,S09830000007,215.88,12,12,NaN
Buchanan,S10189800024,25.49,12,1,NaN
Buchanan,S10457200028,18.54,24,2,NaN
Buchanan,S10840000017,68.94,6,10,NaN
Buchanan,S11411400013,49.47,12,2,NaN
Buchanan,S11435500030,64.74,6,10,NaN
Buchanan,S12352500029,12.98,12,2,NaN
Buchanan,S12486600013,46.48,12,2,NaN
Buchanan,S12613400003,146.4,6,12,NaN
Buchanan,S13223700011,72.72,12,12,NaN
Buchanan,S13719000027,31.47,12,2,NaN
Buchanan,S14774900008,177.24,12,9,NaN
Buchanan,S14838800022,19.6,12,2,NaN
Buchanan,S15756600004,160.56,6,21,NaN
Buchanan,S15890500003,68.22,6,10,NaN
Buchanan,S16291400052,22.13,6,2,NaN
Buchanan,S16534000021,18.8,12,2,NaN
Buchanan,S16648200019,296.88,12,18,NaN
Buchanan,S16669700023,147.24,12,9,NaN
Buchanan,S16795600032,37.11,12,2,NaN
Buchanan,S17042400001,98.64,12,9,NaN
Buchanan,S17233200035,62.97,12,2,NaN
Buchanan,S18712600010,94.5,6,10,NaN
Buchanan,S19686600021,35.73,12,2,NaN
Buchanan,S20317900014,29.18,12,1,NaN
Buchanan,S20938900015,198.6,12,9,NaN
Buchanan,S21339700009,84.96,6,10,NaN
Buchanan,S21596300014,162,12,9,NaN
Buchanan,S21728300018,60,12,3,NaN
Buchanan,S22253800036,22.42,12,2,NaN
Buchanan,S22402900028,44.43,12,3,NaN
Buchanan,S22713400022,36.81,12,2,NaN
Buchanan,S23620000019,72,12,9,NaN
Buchanan,S23930200016,119.4,12,12,NaN
Buena Vista,S03432300051,23.06,12,2,NaN
Buena Vista,S03536100031,158.4,6,3,NaN
Buena Vista,S04216300036,192.6,6,32,NaN
Buena Vista,S05230600007,42.74,12,2,NaN
Buena Vista,S05454200036,39.39,24,1,NaN
Buena Vista,S06053100026,22.95,12,2,NaN
Buena Vista,S06053500076,12.74,12,1,NaN
Buena Vista,S06053500140,13.64,12,1,NaN
Buena Vista,S06282900114,27,12,2,NaN
Buena Vista,S06692500028,12.18,12,2,NaN
Buena Vista,S06772200006,103.92,6,10,NaN
Buena Vista,S07131900026,134.88,12,12,NaN
Buena Vista,S07380700025,327,12,45,NaN
Buena Vista,S07539500014,99.12,12,9,NaN
Buena Vista,S07553100062,8.25,24,1,NaN
Buena Vista,S07700000147,25.58,12,1,NaN
Buena Vista,S08100700063,84,12,2,NaN
Buena Vista,S08232800007,112.5,6,4,NaN
Buena Vista,S08400600001,85.44,6,10,NaN
Buena Vista,S08688700151,19.04,12,1,NaN
Buena Vista,S08737300001,157.44,6,10,NaN
Buena Vista,S09578300261,33.74,6,2,NaN
Buena Vista,S09581900038,54.33,12,2,NaN
Buena Vista,S09829200064,45,12,2,NaN
Buena Vista,S09833200018,41.18,12,2,NaN
Buena Vista,S10202900009,19.67,12,1,NaN
Buena Vista,S10465300019,110.76,12,12,NaN
Buena Vista,S10582800019,93.78,6,4,NaN
Buena Vista,S10596000077,26.7,6,4,NaN
Buena Vista,S10961700010,59.98,12,2,NaN
Buena Vista,S11081400007,121.44,12,18,NaN
Buena Vista,S11199600129,19.8,12,1,NaN
Buena Vista,S11237300018,24.08,12,3,NaN
Buena Vista,S11436200019,940.2,6,105,NaN
Buena Vista,S11574500065,41.97,12,2,NaN
Buena Vista,S11824500119,14.99,12,1,NaN
Buena Vista,S11967100008,51.76,12,2,NaN
Buena Vista,S13271400110,12.37,12,1,NaN
Buena Vista,S13660500015,107.96,12,3,NaN
Buena Vista,S13776200060,33.58,12,2,NaN
Buena Vista,S13781700003,64.74,6,10,NaN
Buena Vista,S13904700004,171.12,24,9,NaN
Buena Vista,S15029400021,94.08,12,9,NaN
Buena Vista,S15034100009,48.9,12,4,NaN
Buena Vista,S15436600009,85.44,12,2,NaN
Buena Vista,S15688000023,60.84,12,9,NaN
Buena Vista,S16075400019,55.48,12,2,NaN
Buena Vista,S16079400096,22.56,12,2,NaN
Buena Vista,S16080900022,34.29,12,3,NaN
Buena Vista,S16441300003,447.6,6,52,NaN
Buena Vista,S16584300023,22.48,12,2,NaN
Buena Vista,S16852900007,15.03,12,2,NaN
Buena Vista,S16977300096,51.72,12,2,NaN
Buena Vista,S17482200038,75.6,12,9,NaN
Buena Vista,S17482200079,33.75,12,3,NaN
Buena Vista,S17609300063,49.92,12,3,NaN
Buena Vista,S17972100046,88.44,6,4,NaN
Buena Vista,S19077300011,38.98,6,4,NaN
Buena Vista,S19209900001,64.56,6,10,NaN
Buena Vista,S19209900021,59.98,6,4,NaN
Buena Vista,S19476800002,60.72,12,9,NaN
Buena Vista,S19611600011,19.9,12,2,NaN
Buena Vista,S19620000017,25.5,12,2,NaN
Buena Vista,S19620000020,28.74,6,2,NaN
Buena Vista,S20120300021,14.1,12,1,NaN
Buena Vista,S20120300027,123,12,3,NaN
Buena Vista,S20396100096,44.24,6,4,NaN
Buena Vista,S20519000002,132.78,6,10,NaN
Buena Vista,S20998900019,11.88,10,1,NaN
Buena Vista,S21129900011,39.36,12,2,NaN
Buena Vista,S21129900082,22.5,6,2,NaN
Buena Vista,S21404000037,64.02,6,10,NaN
Buena Vista,S21404900014,20.4,10,1,NaN
Buena Vista,S21533700004,101.64,6,10,NaN
Buena Vista,S21785800079,69.06,6,10,NaN
Buena Vista,S22070600083,41.58,12,2,NaN
Buena Vista,S22317600039,274.56,12,12,NaN
Buena Vista,S22463700025,37.88,4,1,NaN
Buena Vista,S22998600015,128.04,6,21,NaN
Buena Vista,S23221500001,100.8,12,2,NaN
Buena Vista,S23610600017,116.94,6,10,NaN
Buena Vista,S23610600039,29.5,6,2,NaN
Buena Vista,S23856000042,20.7,12,2,NaN
Buena Vista,S23990500099,29.99,6,2,NaN
Buena Vista,S24110800128,82.5,12,2,NaN
Buena Vista,S24111000020,40.92,12,2,NaN
Butler,S03404300001,191.76,12,24,NaN
Butler,S03936700002,138.36,12,9,NaN
Butler,S04415400003,90,6,4,NaN
Butler,S04959100019,64.2,6,10,NaN
Butler,S07194500004,8.4,24,1,NaN
Butler,S13986700018,17.34,24,2,NaN
Butler,S14739200020,17,24,2,NaN
Butler,S16168900009,159.72,6,10,NaN
Butler,S16930100012,68.22,6,10,NaN
Butler,S17422000019,67.14,6,10,NaN
Butler,S18060100016,31.36,12,3,NaN
Butler,S18296300002,188.04,6,21,NaN
Butler,S18911500002,157.44,12,9,NaN
Butler,S20236800020,60.96,24,2,NaN
Butler,S20480800009,119.52,12,12,NaN
Butler,S21613500004,64.8,6,10,NaN
Butler,S21613500029,24.75,12,3,NaN
Butler,S21897000016,9.9,12,1,NaN
Butler,S22965300009,12.32,24,2,NaN
Calhoun,S06158200005,83.88,12,12,NaN
Calhoun,S07242100012,28.35,12,2,NaN
Calhoun,S10449900023,16.5,12,2,NaN
Calhoun,S12022700025,16.34,12,2,NaN
Calhoun,S13654400004,153.72,6,10,NaN
Calhoun,S14637400006,20.26,6,4,NaN
Calhoun,S14773400009,82.2,6,10,NaN
Calhoun,S18458300006,132.72,6,10,NaN
Calhoun,S20261000011,10.76,24,2,NaN
Calhoun,S20507300004,324,6,21,NaN
Calhoun,S20875700002,211.56,12,12,NaN
Calhoun,S23485200037,44.84,6,7,NaN
Calhoun,S23611500005,74.12,12,4,NaN
Carroll,S03512200136,11.42,12,0,NaN
Carroll,S04178400038,20.76,6,4,NaN
Carroll,S04190000001,91.98,6,10,NaN
Carroll,S04304100053,151.44,12,9,NaN
Carroll,S04405900009,68.22,6,10,NaN
Carroll,S04645900120,67.47,12,2,NaN
Carroll,S04967100017,17.74,12,1,NaN
Carroll,S05092800026,1182.72,12,48,NaN
Carroll,S05656800018,47.22,12,2,NaN
Carroll,S06029700033,31.47,12,1,NaN
Carroll,S06389500006,319.8,12,12,NaN
Carroll,S06394800076,256.68,12,36,NaN
Carroll,S06974300041,2.93,48,0,NaN
Carroll,S07102900128,16.24,6,1,NaN
Carroll,S07290600008,28.47,12,2,NaN
Carroll,S07527800127,143.28,12,9,NaN
Carroll,S07673200011,99,12,6,NaN
Carroll,S08217400108,53.34,12,4,NaN
Carroll,S09045100014,283.44,12,18,NaN
Carroll,S09304800076,113.28,12,9,NaN
Carroll,S09418600103,193.44,6,4,NaN
Carroll,S10052000008,189,6,21,NaN
Carroll,S10292900024,8.26,12,1,NaN
Carroll,S10315800017,217.32,12,12,NaN
Carroll,S10554800015,30.15,12,3,NaN
Carroll,S10936300019,33.72,12,2,NaN
Carroll,S11055600001,60.72,12,9,NaN
Carroll,S11298600011,97.8,12,9,NaN
Carroll,S11527800021,22.5,12,2,NaN
Carroll,S11665700033,18.9,12,2,NaN
Carroll,S12066200003,68.4,6,10,NaN
Carroll,S12199600019,26,12,4,NaN
Carroll,S12432300030,9.2,24,1,NaN
Carroll,S12478300149,31.48,12,2,NaN
Carroll,S13319700027,197.88,12,9,NaN
Carroll,S14230500082,224.88,12,12,NaN
Carroll,S14817900001,94.44,6,10,NaN
Carroll,S15461900007,188.76,12,9,NaN
Carroll,S15471600013,168.84,6,10,NaN
Carroll,S15471600040,82.68,12,12,NaN
Carroll,S15471600110,25.99,6,1,NaN
Carroll,S15726800108,7.29,12,0,NaN
Carroll,S17007800027,7.44,6,0,NaN
Carroll,S17226500064,6.6,12,1,NaN
Carroll,S17266300007,62.28,12,9,NaN
Carroll,S17491100071,197.94,6,5,NaN
Carroll,S17624400072,66.2,12,3,NaN
Carroll,S18451500117,14.88,6,1,NaN
Carroll,S18478900016,314.88,12,18,NaN
Carroll,S18613800142,7.8,24,1,NaN
Carroll,S19114300065,131.94,6,10,NaN
Carroll,S19907500015,652.32,12,36,NaN
Carroll,S19907500103,44.92,12,3,NaN
Carroll,S20020600053,57.18,6,10,NaN
Carroll,S20167200008,95.64,12,12,NaN
Carroll,S20675400086,274.56,12,12,NaN
Carroll,S22104000015,97.92,12,9,NaN
Carroll,S22761300082,135,12,12,NaN
Carroll,S23045700076,142.38,6,10,NaN
Carroll,S23273200183,22.51,6,1,NaN
Carroll,S23895800017,60.72,12,9,NaN
Carroll,S24141000020,27,12,3,NaN
Carroll,S24144700099,7.73,12,1,NaN
Cass,S03958100012,98.88,6,10,NaN
Cass,S05322900031,101.64,12,6,NaN
Cass,S06863500087,27.02,12,2,NaN
Cass,S06868000012,99.12,6,10,NaN
Cass,S06983400095,33.04,12,3,NaN
Cass,S07532900097,73.44,12,3,NaN
Cass,S07671500055,15.45,24,2,NaN
Cass,S07805600109,30.1,6,2,NaN
Cass,S08789800008,64.74,6,10,NaN
Cass,S09399100001,283.32,12,9,NaN
Cass,S09556500014,33.04,12,3,NaN
Cass,S09564100004,78,12,12,NaN
Cass,S09682100153,60,6,2,NaN
Cass,S10047500076,50.96,12,3,NaN
Cass,S11299400048,58.74,12,4,NaN
Cass,S11539700018,87.06,6,10,NaN
Cass,S12463100029,177.24,12,9,NaN
Cass,S13480400070,17.08,12,2,NaN
Cass,S13481800011,148.44,12,9,NaN
Cass,S13601200006,103.92,6,10,NaN
Cass,S14278300010,51.72,12,2,NaN
Cass,S15240300007,64.74,6,10,NaN
Cass,S15241600071,42.3,12,6,NaN
Cass,S17915500009,94.08,12,9,NaN
Cass,S18131900070,26.9,24,4,NaN
Cass,S18760900045,182.22,6,10,NaN
Cass,S20207300023,62.28,6,10,NaN
Cass,S20429700006,216.96,12,9,NaN
Cass,S20803600017,225,12,9,NaN
Cass,S21339600007,270,12,9,NaN
Cass,S21339600011,119.4,12,12,NaN
Cass,S22396600170,324,12,18,NaN
Cass,S22792500059,119.88,6,10,NaN
Cass,S23430300004,83.16,6,10,NaN
Cass,S23538400002,9.26,12,0,NaN
Cass,S24057000039,31.5,12,1,NaN
Cedar,S03935100018,27.6,24,2,NaN
Cedar,S05374300041,24.98,12,2,NaN
Cedar,S05588000041,31.5,12,3,NaN
Cedar,S07148800025,17.99,12,1,NaN
Cedar,S07727100002,162.78,6,4,NaN
Cedar,S08260400016,16.94,12,1,NaN
Cedar,S08708100049,6.97,12,1,NaN
Cedar,S09513700012,21.39,24,1,NaN
Cedar,S10489000006,249.24,6,10,NaN
Cedar,S10616600050,37.5,6,2,NaN
Cedar,S10871600025,18.74,12,1,NaN
Cedar,S11608900014,80.94,6,10,NaN
Cedar,S11741000027,11.49,12,1,NaN
Cedar,S12536100031,47.04,12,4,NaN
Cedar,S13061400057,16.1,12,2,NaN
Cedar,S14658600038,30.36,12,4,NaN
Cedar,S14910800026,40.8,24,2,NaN
Cedar,S14922000033,15.35,12,1,NaN
Cedar,S15716200032,11.25,12,1,NaN
Cedar,S16608900001,159.72,6,10,NaN
Cedar,S18352200025,12.37,12,1,NaN
Cedar,S18847300024,12.38,12,1,NaN
Cedar,S19237000040,18.9,12,2,NaN
Cedar,S19374300008,34.02,12,2,NaN
Cedar,S19903400026,84.96,6,10,NaN
Cedar,S19930700004,123.6,12,9,NaN
Cedar,S20147600044,21.52,6,4,NaN
Cedar,S20286400003,73.8,6,10,NaN
Cedar,S21169400022,30,24,2,NaN
Cedar,S21426500023,44.98,12,2,NaN
Cedar,S21426500027,9.75,12,1,NaN
Cedar,S22895300003,73.92,24,9,NaN
Cedar,S23752700019,4.83,24,0,NaN
Cedar,S24009000053,59.1,12,4,NaN
Cerro Gordo,S03473400011,111.96,12,9,NaN
Cerro Gordo,S03787700008,43.4,24,2,NaN
Cerro Gordo,S03806700059,39.72,12,12,NaN
Cerro Gordo,S03883000014,25.44,12,1,NaN
Cerro Gordo,S04149600123,49.48,12,2,NaN
Cerro Gordo,S04153900050,77.28,12,12,NaN
Cerro Gordo,S04160500155,42.5,12,2,NaN
Cerro Gordo,S04607400029,195.96,12,9,NaN
Cerro Gordo,S04730400055,71.4,12,9,NaN
Cerro Gordo,S05162300151,19.8,10,1,NaN
Cerro Gordo,S05516700075,120,12,12,NaN
Cerro Gordo,S05526700035,71.64,12,12,NaN
Cerro Gordo,S05848600071,25.35,12,2,NaN
Cerro Gordo,S05859800112,155.88,12,9,NaN
Cerro Gordo,S05997800054,236.88,12,9,NaN
Cerro Gordo,S06089600012,13.8,24,1,NaN
Cerro Gordo,S06114800025,114.36,12,12,NaN
Cerro Gordo,S06241700010,180,6,9,NaN
Cerro Gordo,S06461800052,20.22,24,1,NaN
Cerro Gordo,S06694900020,18.99,12,3,NaN
Cerro Gordo,S06714900053,115.26,6,4,NaN
Cerro Gordo,S06832500011,38.97,12,2,NaN
Cerro Gordo,S07199800058,12.79,12,0,NaN
Cerro Gordo,S07501400001,63,6,10,NaN
Cerro Gordo,S07629700210,121.05,12,3,NaN
Cerro Gordo,S08027700186,123.69,12,2,NaN
Cerro Gordo,S08155100089,18.98,12,2,NaN
Cerro Gordo,S08174700001,182.22,6,10,NaN
Cerro Gordo,S08337300009,73.8,6,10,NaN
Cerro Gordo,S08449600017,16.12,12,2,NaN
Cerro Gordo,S08475300017,29.37,12,2,NaN
Cerro Gordo,S08606500062,24.6,12,3,NaN
Cerro Gordo,S08843500030,305.88,12,12,NaN
Cerro Gordo,S08982800159,17.7,6,2,NaN
Cerro Gordo,S09135300015,68.22,6,10,NaN
Cerro Gordo,S09146600096,7.13,12,1,NaN
Cerro Gordo,S09392600072,64.74,6,10,NaN
Cerro Gordo,S09399800009,300,6,42,NaN
Cerro Gordo,S09515700040,155.88,12,9,NaN
Cerro Gordo,S09628200095,17.11,6,2,NaN
Cerro Gordo,S09753800088,81.24,12,3,NaN
Cerro Gordo,S09758700016,179.88,12,9,NaN
Cerro Gordo,S09770100045,279.6,12,12,NaN
Cerro Gordo,S09770100081,25.48,12,2,NaN
Cerro Gordo,S09874300009,94.08,12,9,NaN
Cerro Gordo,S10009400081,101.16,12,4,NaN
Cerro Gordo,S10256600071,30.66,6,4,NaN
Cerro Gordo,S10395000111,123.69,12,2,NaN
Cerro Gordo,S10647900049,33.12,24,1,NaN
Cerro Gordo,S11146500032,78.84,12,9,NaN
Cerro Gordo,S11147800029,134.88,12,12,NaN
Cerro Gordo,S11235900007,103.92,12,9,NaN
Cerro Gordo,S11261000111,33.72,12,2,NaN
Cerro Gordo,S11487400194,15.93,24,1,NaN
Cerro Gordo,S11515000072,28.52,12,4,NaN
Cerro Gordo,S11626900065,49.4,12,2,NaN
Cerro Gordo,S11757800120,10.81,12,1,NaN
Cerro Gordo,S11886600010,89.28,12,9,NaN
Cerro Gordo,S11895500177,11.32,12,1,NaN
Cerro Gordo,S12033700005,198,12,24,NaN
Cerro Gordo,S12054800025,71.7,12,4,NaN
Cerro Gordo,S12161100182,5.66,12,0,NaN
Cerro Gordo,S12184800030,36.9,6,5,NaN
Cerro Gordo,S12291900061,58.44,6,10,NaN
Cerro Gordo,S12687400049,143.88,12,12,NaN
Cerro Gordo,S13069100031,9.23,12,1,NaN
Cerro Gordo,S13095400056,269.76,12,12,NaN
Cerro Gordo,S13102100115,14.18,12,1,NaN
Cerro Gordo,S13344600034,265.44,6,21,NaN
Cerro Gordo,S13351000066,19.6,12,2,NaN
Cerro Gordo,S13604600007,197.88,12,9,NaN
Cerro Gordo,S13613100093,47.22,12,4,NaN
Cerro Gordo,S13856400020,40.5,12,1,NaN
Cerro Gordo,S13971600035,36.16,12,3,NaN
Cerro Gordo,S13982900029,172.38,6,10,NaN
Cerro Gordo,S14088300158,28.47,12,2,NaN
Cerro Gordo,S14103500045,242.82,6,32,NaN
Cerro Gordo,S14113200001,211.44,12,12,NaN
Cerro Gordo,S14125100008,51,24,4,NaN
Cerro Gordo,S14125100072,106.2,6,10,NaN
Cerro Gordo,S14582900020,87,12,9,NaN
Cerro Gordo,S14853900030,216.72,12,9,NaN
Cerro Gordo,S14980700053,128.64,12,12,NaN
Cerro Gordo,S15086300023,82.08,6,10,NaN
Cerro Gordo,S15095000015,128.76,12,9,NaN
Cerro Gordo,S15256600036,45.92,24,2,NaN
Cerro Gordo,S15383100049,169.68,12,12,NaN
Cerro Gordo,S15488200004,67.26,6,10,NaN
Cerro Gordo,S15517600105,27.7,6,4,NaN
Cerro Gordo,S15519500039,62.28,6,10,NaN
Cerro Gordo,S15649400012,96.6,12,9,NaN
Cerro Gordo,S15776200036,143.88,12,12,NaN
Cerro Gordo,S15776200084,37.8,12,3,NaN
Cerro Gordo,S15786800058,19.41,24,1,NaN
Cerro Gordo,S15898800021,74.28,12,12,NaN
Cerro Gordo,S15902500004,279.72,12,12,NaN
Cerro Gordo,S15953100004,157.44,12,9,NaN
Cerro Gordo,S15996500091,131.94,6,10,NaN
Cerro Gordo,S15996500233,46.5,12,1,NaN
Cerro Gordo,S16002900106,32.46,12,2,NaN
Cerro Gordo,S16038400002,93.78,6,4,NaN
Cerro Gordo,S16163900005,134.88,12,9,NaN
Cerro Gordo,S16165000020,211.44,12,12,NaN
Cerro Gordo,S16390500191,18.42,12,2,NaN
Cerro Gordo,S16427400033,269.88,12,12,NaN
Cerro Gordo,S16546200058,73.8,12,9,NaN
Cerro Gordo,S16548100105,23.82,12,2,NaN
Cerro Gordo,S16548100256,13.95,48,1,NaN
Cerro Gordo,S16548100264,13.6,24,1,NaN
Cerro Gordo,S16792000010,224.64,12,12,NaN
Cerro Gordo,S17050400052,109.68,24,9,NaN
Cerro Gordo,S17156800008,161.64,12,9,NaN
Cerro Gordo,S17804300063,112.5,6,4,NaN
Cerro Gordo,S17804300083,28.52,24,2,NaN
Cerro Gordo,S18047900193,5.98,48,0,NaN
Cerro Gordo,S18049900085,74.98,12,2,NaN
Cerro Gordo,S18169900142,50.38,12,2,NaN
Cerro Gordo,S18280000123,28.68,12,3,NaN
Cerro Gordo,S18285400054,38.38,12,2,NaN
Cerro Gordo,S18288300052,121.14,6,10,NaN
Cerro Gordo,S18521200025,49.48,12,3,NaN
Cerro Gordo,S18523600003,148.44,12,9,NaN
Cerro Gordo,S18533400056,16.71,12,2,NaN
Cerro Gordo,S18533400086,15.21,12,2,NaN
Cerro Gordo,S18533400123,31.48,6,4,NaN
Cerro Gordo,S18535200026,258.24,6,42,NaN
Cerro Gordo,S18781800073,47.19,12,2,NaN
Cerro Gordo,S18783100095,26.98,6,4,NaN
Cerro Gordo,S19028200005,211.44,12,12,NaN
Cerro Gordo,S19032200006,182.22,6,10,NaN
Cerro Gordo,S19032200203,55.68,12,2,NaN
Cerro Gordo,S19153100167,66.22,12,2,NaN
Cerro Gordo,S19304200085,157.56,12,9,NaN
Cerro Gordo,S19555400106,21.84,12,2,NaN
Cerro Gordo,S19626400006,188.04,6,21,NaN
Cerro Gordo,S19693800025,100.56,6,10,NaN
Cerro Gordo,S19700300020,70.56,6,10,NaN
Cerro Gordo,S19701800066,58.68,24,2,NaN
Cerro Gordo,S19818500044,265.56,6,21,NaN
Cerro Gordo,S19952200010,74.4,12,12,NaN
Cerro Gordo,S19959800026,269.76,12,12,NaN
Cerro Gordo,S20216300043,156.12,12,9,NaN
Cerro Gordo,S20220000174,129.12,6,5,NaN
Cerro Gordo,S20434700121,78.66,6,4,NaN
Cerro Gordo,S20434700163,22.5,12,2,NaN
Cerro Gordo,S20466300067,55.52,12,3,NaN
Cerro Gordo,S20594800014,203.28,6,21,NaN
Cerro Gordo,S20801500015,156.12,12,9,NaN
Cerro Gordo,S20801500134,28.5,12,2,NaN
Cerro Gordo,S20803500014,215.88,12,9,NaN
Cerro Gordo,S20927300004,125.88,12,9,NaN
Cerro Gordo,S20927400093,90,12,3,NaN
Cerro Gordo,S20934100272,55.48,12,2,NaN
Cerro Gordo,S20934700014,138,6,10,NaN
Cerro Gordo,S21049400056,258.24,6,10,NaN
Cerro Gordo,S21308300090,14.82,6,1,NaN
Cerro Gordo,S21701000037,23.45,10,1,NaN
Cerro Gordo,S21963800030,162,12,9,NaN
Cerro Gordo,S21976400007,115.92,24,9,NaN
Cerro Gordo,S21980100063,130.8,6,4,NaN
Cerro Gordo,S21980100116,36,48,2,NaN
Cerro Gordo,S21980100120,25.88,24,2,NaN
Cerro Gordo,S21981200007,666,12,24,NaN
Cerro Gordo,S22095600014,240.84,6,32,NaN
Cerro Gordo,S22117600056,37.5,12,2,NaN
Cerro Gordo,S22346800011,189,6,21,NaN
Cerro Gordo,S22755100031,67.2,12,6,NaN
Cerro Gordo,S22757100103,47.99,6,2,NaN
Cerro Gordo,S22762600058,64.8,24,9,NaN
Cerro Gordo,S22908200024,161.64,12,9,NaN
Cerro Gordo,S23039400012,322.2,12,12,NaN
Cerro Gordo,S23257500009,171.12,24,9,NaN
Cerro Gordo,S23270900057,161.64,12,9,NaN
Cerro Gordo,S23271100025,132.78,6,10,NaN
Cerro Gordo,S23386500045,82.08,24,9,NaN
Cerro Gordo,S23390700032,10.2,48,1,NaN
Cerro Gordo,S23530700064,135.33,12,2,NaN
Cerro Gordo,S23530800007,106.56,24,9,NaN
Cerro Gordo,S24016900001,132.78,6,10,NaN
Cerro Gordo,S24016900028,21.78,12,2,NaN
Cerro Gordo,S24027900136,45,6,2,NaN
Cherokee,S05985400035,30.93,12,3,NaN
Cherokee,S06106800044,74.88,6,10,NaN
Cherokee,S07485900036,49.5,12,3,NaN
Cherokee,S07743500004,68.22,6,10,NaN
